"CÓDIGO SIGEP","NOMBRE DE LA ENTIDAD","NIT","ORDEN","SUBORDEN","REGIÓN PND","CÓDIGO DIVIPOLA DEPARTAMENTO","DEPARTAMENTO","CÓDIGO DIVIPOLA MUNICIPIO","MUNICIPIO","CLASIFICACIÓN ORGÁNICA","SECTOR","NIVEL","TIPO DE VINCULACIÓN","NATURALEZA JURÍDICA","LONGITUD","LATITUD","AÑO","MES","FUENTE","GENERO: HOMBRE","GENERO: MUJER","NIVEL EDUCATIVO: PRIMARIA","NIVEL EDUCATIVO: SECUNDARIA","NIVEL EDUCATIVO: TÉCNICA-TECNOLÓGICA","NIVEL EDUCATIVO: PROFESIONAL","NIVEL EDUCATIVO: ESPECIALIZACIÓN","NIVEL EDUCATIVO: MAESTRÍA","NIVEL EDUCATIVO: DOCTORADO","NIVEL EDUCATIVO: SIN DATOS","EDAD: MENOR O IGUAL A 29","EDAD: 30-39","EDAD: 40-49","EDAD: 50-62","EDAD: 63 Y MAS","EXPERIENCIA LABORAL: MENOR A 1 AÑO","EXPERIENCIA LABORAL: DE 1 A 10 AÑOS","EXPERIENCIA LABORAL: DE 11 A 20 AÑOS","EXPERIENCIA LABORAL: DE 21 A 30 AÑOS","EXPERIENCIA LABORAL: DE 31 A 40 AÑOS","EXPERIENCIA LABORAL: MAYOR A 40 AÑOS","EXPERIENCIA LABORAL: SIN DATOS","SALARIO MENSUAL PROMEDIO"
"00539","ALCALDIA DE EL DONCELLO","800095760","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","6","14","0","3","0","7","8","0","0","1","2","7","6","3","2","7","4","5","5","2","1","0","2.881.456"
"00540","ALCALDIA DE EL DORADO","800255443","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","9","9","0","4","0","10","3","0","0","0","3","5","6","3","1","8","4","1","1","4","0","0","1.672.504,33"
"00541","ALCALDIA DE EL DOVIO","891901223","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","14","17","3","7","0","7","2","1","0","3","0","7","8","10","6","9","8","5","5","2","3","0","1.244.177,19"
"00542","ALCALDIA DE EL ESPINAL","890702027","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","46","49","1","15","0","30","34","2","0","0","2","18","27","35","13","25","33","15","15","15","6","0","2.158.102,16"
"00543","ALCALDIA DE EL ESPINO","800031073","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","8","1","3","1","0","2","0","1","0","1","0","1","3","4","1","2","3","1","1","2","0","0","1.809.022,89"
"00544","ALCALDIA DE EL GUACAMAYO","890205439","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","4","7","1","1","0","3","3","1","0","1","1","4","2","3","1","2","1","4","4","2","1","0","1.753.507,82"
"00545","ALCALDIA DE EL GUAMO - BOLIVAR","890481295","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","17","16","2","11","0","8","5","0","0","3","2","10","14","5","2","11","7","3","3","3","2","0","1.502.653,55"
"00546","ALCALDIA DE EL GUAMO - TOLIMA","890702015","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","12","19","0","7","0","16","6","0","0","0","0","7","12","9","3","4","7","11","11","4","5","0","2.041.257,13"
"00547","ALCALDIA DE EL LIBANO","800100061","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","10","14","0","5","0","9","1","1","0","8","2","3","3","11","5","8","0","3","3","4","1","0","1.633.962,21"
"00548","ALCALDIA DE EL MOLINO","800092788","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","11","9","0","4","0","9","5","0","0","1","0","8","7","4","1","9","4","2","2","1","0","0","3.264.599,9"
"00549","ALCALDIA DE EL PASO","800096592","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","24","18","1","19","0","5","8","0","0","6","0","3","14","19","6","11","16","6","6","3","1","0","1.856.563,57"
"00550","ALCALDIA DE EL PEÑOL","11890980917","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","9","19","0","2","0","10","5","1","0","0","3","8","11","6","0","7","6","4","4","0","1","0","2.416.396,75"
"00551","ALCALDIA DE EL PEÑOL - NARIÑO","814002243","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","9","4","0","2","0","6","3","1","0","1","0","9","3","1","0","7","1","1","1","1","0","0","1.626.041,85"
"00552","ALCALDIA DE EL PEÑON - BOLIVAR","800001439","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","9","5","0","7","0","5","1","0","0","0","3","4","2","5","0","7","1","1","1","0","0","0","1.467.192,86"
"00553","ALCALDIA DE EL PEÑON - CUNDINAMARCA","899999460","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","7","6","0","4","0","3","1","0","0","2","0","1","4","7","1","2","5","3","3","0","1","0","1.682.596,92"
"00554","ALCALDIA DE EL PEÑON - SANTANDER","800213967","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","7","6","0","1","0","6","4","0","0","0","1","6","4","2","0","5","4","2","2","1","1","0","2.019.524,25"
"00555","ALCALDIA DE EL PIÑON - MAGDALENA","891780049","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","3","13","0","4","0","5","2","0","0","1","0","2","5","8","1","6","8","1","1","0","0","0","1.844.717,31"
"00556","ALCALDIA DE EL PITAL","8911801990","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","7","6","1","2","0","8","1","0","0","0","1","2","2","7","1","2","2","3","3","4","0","0","2.830.814,23"
"00557","ALCALDIA DE EL PLAYON","890208199","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","9","9","0","9","0","6","1","2","0","0","1","6","4","6","1","6","2","1","1","3","1","0","1.849.973,72"
"00558","ALCALDIA DE EL RETEN","819000925","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","6","7","0","1","0","5","4","0","0","1","1","3","6","2","1","5","4","1","1","1","0","0","2.046.405,85"
"00559","ALCALDIA DE EL RETIRO","890983674","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","29","39","1","5","0","28","14","2","0","1","7","25","12","23","1","31","21","10","10","3","1","0","0"
"00560","ALCALDIA DE EL RETORNO","800191427","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","17","22","3","6","0","15","6","0","0","1","1","16","12","7","3","10","8","7","7","3","11","0","2.064.243,92"
"00561","ALCALDIA DE EL ROBLE","823002595","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","9","2","0","2","0","2","6","0","0","1","0","1","8","2","0","1","4","5","5","0","0","0","1.665.099,73"
"00562","ALCALDIA DE EL ROSARIO","800099079","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","8","6","0","2","0","8","2","0","0","0","3","5","6","0","0","13","1","0","0","0","0","0","2.048.187,5"
"00563","ALCALDIA DE EL TABLON - NARIÑO","800099080","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","21","8","13","4","0","8","2","1","0","0","0","5","1","11","12","2","5","6","6","13","3","0","908.638,21"
"00564","ALCALDIA DE EL TAMBO","891500978","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","7","9","1","6","0","5","2","1","0","0","0","3","2","8","3","3","5","2","2","4","2","0","1.640.064,06"
"00565","ALCALDIA DE EL TAMBO - NARIÑO","800099084","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","23","17","11","4","0","4","6","1","0","4","0","3","10","12","15","2","18","5","5","9","3","0","1.115.776,9"
"00566","ALCALDIA DE EL TARRA","800138959","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","7","17","0","6","0","8","4","3","0","0","3","16","2","2","1","9","6","0","0","1","2","0","3.078.706,92"
"00567","ALCALDIA DE EL ZULIA","800039803","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","12","17","0","5","0","11","9","0","0","0","1","10","12","6","0","13","5","1","1","2","0","0","1.582.881,79"
"00569","ALCALDIA DE ELIAS","891180132","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","6","2","0","1","0","4","3","0","0","0","1","2","4","1","0","5","1","1","1","1","0","0","4.103.749,63"
"00570","ALCALDIA DE ENCINO","890205114","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","5","4","0","1","0","2","3","1","0","0","1","5","0","3","0","4","1","1","1","1","0","0","1.780.390,89"
"00571","ALCALDIA DE ENCISO","890209666","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","2","3","1","0","0","2","1","0","0","0","1","0","2","2","0","1","1","2","2","0","0","0","1.555.780"
"00572","ALCALDIA DE ENTRERRIOS","890982068","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","5","29","0","6","0","14","5","2","0","2","1","8","16","6","3","8","10","5","5","2","3","0","2.305.851,24"
"00573","ALCALDIA DE ENVIGADO","890907106","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","487","500","13","227","0","199","325","101","3","5","8","231","358","334","56","239","277","203","203","129","93","0","6.154.441,88"
"00574","ALCALDIA DE FALAN","890702028","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","6","9","0","3","0","2","3","0","0","5","1","3","3","6","2","4","1","1","1","0","2","0","1.641.447,53"
"00575","ALCALDIA DE FILADELFIA","890801144","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","6","11","1","6","0","4","2","0","0","1","0","4","3","8","2","3","3","1","1","2","5","0","1.134.682,24"
"00576","ALCALDIA DE FILANDIA","890001339","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","15","12","0","3","0","10","7","5","0","0","2","9","10","4","2","12","6","3","3","1","2","0","3.846.564,96"
"00577","ALCALDIA DE FIRAVITOBA","891856288","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","3","2","0","3","0","1","1","0","0","0","0","1","1","3","0","0","3","1","1","1","0","0","1.172.946,8"
"00578","ALCALDIA DE FLANDES","800100055","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","9","18","1","7","0","7","6","2","0","0","0","7","4","15","1","8","4","2","2","9","2","0","1.923.045,33"
"00579","ALCALDIA DE FLORENCIA - CAQUETA","800095728","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","167","158","1","47","0","96","131","17","1","7","16","106","105","81","17","118","78","32","32","22","16","0","2.549.304,72"
"00580","ALCALDIA DE FLORESTA","800026368","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","5","5","0","2","0","1","5","1","0","1","0","3","4","3","0","6","0","0","0","0","1","0","2.011.114,9"
"00581","ALCALDIA DE FLORIAN","890209640","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","CENTRAL","ADSCRITAS","ALCALDÍA",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","3","5","0","1","0","3","2","2","0","0","1","3","3","0","1","3","1","1","1","2","0","0","2.334.193,75"
