"CÓDIGO SIGEP","NOMBRE DE LA ENTIDAD","NIT","ORDEN","SUBORDEN","REGIÓN PND","CÓDIGO DIVIPOLA DEPARTAMENTO","DEPARTAMENTO","CÓDIGO DIVIPOLA MUNICIPIO","MUNICIPIO","CLASIFICACIÓN ORGÁNICA","SECTOR","NIVEL","TIPO DE VINCULACIÓN","NATURALEZA JURÍDICA","LONGITUD","LATITUD","AÑO","MES","FUENTE","GENERO: HOMBRE","GENERO: MUJER","NIVEL EDUCATIVO: PRIMARIA","NIVEL EDUCATIVO: SECUNDARIA","NIVEL EDUCATIVO: TÉCNICA-TECNOLÓGICA","NIVEL EDUCATIVO: PROFESIONAL","NIVEL EDUCATIVO: ESPECIALIZACIÓN","NIVEL EDUCATIVO: MAESTRÍA","NIVEL EDUCATIVO: DOCTORADO","NIVEL EDUCATIVO: SIN DATOS","EDAD: MENOR O IGUAL A 29","EDAD: 30-39","EDAD: 40-49","EDAD: 50-62","EDAD: 63 Y MAS","EXPERIENCIA LABORAL: MENOR A 1 AÑO","EXPERIENCIA LABORAL: DE 1 A 10 AÑOS","EXPERIENCIA LABORAL: DE 11 A 20 AÑOS","EXPERIENCIA LABORAL: DE 21 A 30 AÑOS","EXPERIENCIA LABORAL: DE 31 A 40 AÑOS","EXPERIENCIA LABORAL: MAYOR A 40 AÑOS","EXPERIENCIA LABORAL: SIN DATOS","SALARIO MENSUAL PROMEDIO"
"03435","HOSPITAL LOCAL DE AGUACHICA E.S.E.","824000785","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","20","30","1","14","0","6","12","0","0","0","0","1","7","30","12","8","6","21","21","9","6","0","2.600.676,24"
"03437","HOSPITAL LOCAL DE ARENAL MANUELA PABUENA LOBO - ARENAL","806007809","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","6","11","1","7","0","4","0","0","0","4","2","2","6","5","2","2","5","3","3","0","1","0","1.787.900,53"
"03438","HOSPITAL LOCAL DE ARJONA","806007923","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","16","27","1","13","0","18","8","0","0","2","1","3","18","13","8","12","13","7","7","2","3","0","2.316.586,91"
"03440","HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ","800227877","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","21","75","0","19","0","16","6","0","0","40","5","26","33","22","10","17","11","4","4","3","1","0","3.036.354,24"
"03444","HOSPITAL LOCAL DE EL RETEN","819001796","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","8","13","0","0","0","2","2","1","0","14","2","0","5","6","8","2","2","2","2","0","0","0","1.811.041,33"
"03445","EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN CRISOSTOMO (GONZALEZ CESAR)","824000472","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","2","2","0","0","0","2","0","0","0","1","0","1","1","2","0","1","0","0","0","0","1","0","2.146.718"
"03447","HOSPITAL LOCAL DE MALAMBO","802009806","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","7","19","0","6","0","6","4","0","0","3","1","0","2","14","9","0","2","12","12","3","3","0","3.427.956,88"
"03448","HOSPITAL LOCAL DE PIEDECUESTA","900066345","TERRITORIAL",,,,,,,"DEPARTAMENTAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","0","2","0","0","0","1","1","0","0","0","0","1","0","1","0","1","0","1","1","0","0","0","4.176.334"
"03451","HOSPITAL LOCAL DE SABANAS DE SAN ANGEL","819003599","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","2","6","0","0","0","3","2","0","0","1","0","0","4","3","1","1","1","4","4","1","0","0","4.758.716,6"
"03452","HOSPITAL LOCAL DE SAN CARLOS DE GUAROA","900077520","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","6","11","1","2","0","7","2","0","0","0","2","7","4","3","1","7","7","0","0","0","1","0","1.971.745,59"
"03459","HOSPITAL LOCAL DEL RIO DE ORO","824000449","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","3","14","0","0","0","0","3","0","0","14","0","5","3","3","6","1","1","0","0","0","0","0","2.337.088,24"
"03461","HOSPITAL LOCAL LA CANDELARIA - RIOVIEJO","806008153","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","10","9","0","6","0","6","1","0","0","6","3","4","5","5","2","5","3","6","6","0","0","0","1.987.439,32"
"03462","HOSPITAL LOCAL LA JAGUA DE IBIRICO","824000543","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","0","2","0","0","0","2","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","4.338.186"
"03463","HOSPITAL LOCAL LURUACO","890103025","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","11","21","2","8","0","4","2","0","0","0","1","3","10","13","5","14","13","1","1","3","1","0","1.952.069,75"
"03465","HOSPITAL LOCAL MONTELIBANO","812000344","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","8","9","1","1","0","11","1","0","0","0","5","2","3","5","2","4","1","1","1","4","2","0","2.571.142,47"
"03466","HOSPITAL LOCAL NIVEL I NUESTRA SEÑORA DEL SOCORRO -SINCE","823000624","TERRITORIAL",,,,,,,"DEPARTAMENTAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","12","14","0","2","0","1","2","0","0","20","0","0","3","16","7","1","0","2","2","3","0","0","2.425.749,81"
"03469","HOSPITAL LOCAL PRIMER NIVEL - FUENTEDEORO","822001570","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","2","7","0","3","0","4","1","0","0","1","3","1","1","4","0","1","1","2","2","1","1","0","2.669.863,89"
"03470","HOSPITAL LOCAL PUERTO ASIS - PUERTO ASIS","846000253","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","7","32","0","19","0","6","10","0","0","0","0","4","10","21","4","9","8","10","10","9","0","0","2.960.706,54"
"03471","HOSPITAL LOCAL -PUERTO LOPEZ","800037979","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","7","15","0","3","0","8","4","1","0","0","6","4","3","8","1","4","6","3","3","4","1","0","2.481.411,14"
"03472","HOSPITAL LOCAL SAN BENITO ABAD - SUCRE","823002356","TERRITORIAL",,,,,,,"DEPARTAMENTAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","6","10","0","2","0","3","2","0","0","9","0","5","3","3","5","2","3","0","0","0","1","0","2.145.857,69"
"03473","HOSPITAL LOCAL SAN FERNANDO - SAN FERNANDO","806007689","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","2","6","0","0","0","1","0","1","0","5","0","1","2","3","2","2","0","0","0","0","0","0","1.472.581,63"
"03475","HOSPITAL LOCAL SAN JUAN DE PUERTO RICO - TIQUISIO","806007567","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","9","9","0","0","0","4","2","0","0","12","3","9","4","1","1","4","1","0","0","0","0","0","3.150.152,78"
"03476","HOSPITAL LOCAL SAN MARTIN DE LOBA","806007769","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","8","16","1","6","0","1","4","1","0","1","0","4","9","9","2","6","13","1","1","0","0","0","1.978.949,83"
"03477","HOSPITAL LOCAL SAN PABLO - SAN PABLO","829000940","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","4","14","0","0","0","2","3","0","0","13","0","7","0","5","6","4","1","0","0","0","0","0","2.746.575,72"
"03478","HOSPITAL LOCAL SAN SEBASTIAN - MORALES","806007002","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","6","14","0","3","0","3","1","0","0","10","0","3","6","7","4","0","7","1","1","0","1","0","1.554.732,45"
"03479","HOSPITAL LOCAL SAN SEBASTIAN DEL MUNICIPIO DE ZAMBRANO - ZAMBRANO","806006914","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","9","11","0","0","0","1","0","0","0","19","0","5","3","7","5","0","1","0","0","0","0","0","1.985.741,7"
"03480","HOSPITAL LOCAL SANTA BARBARA DE PINTO - SANTA BARBARA DE PINTO","819004347","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","1","9","0","0","0","4","1","0","0","0","0","3","1","3","3","3","0","6","6","1","0","0","1.991.477,1"
"03481","HOSPITAL LOCAL SANTA CATALINA DE ALEJANDRIA","806013609","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","6","14","1","3","0","3","2","0","0","8","2","6","0","5","7","2","2","3","3","0","3","0","1.854.058,8"
"03482","HOSPITAL LOCAL SANTA MARIA - SANTA CRUZ DE MOMPOX","806007257","TERRITORIAL",,,,,,,"DISTRITAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","12","27","1","12","0","4","2","0","0","19","0","0","11","15","13","0","9","6","6","1","3","0","1.693.279,46"
"03483","HOSPITAL LOCAL SANTA RITA DE CASSIA","825000834","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","2","4","0","0","0","0","0","0","0","5","0","1","0","3","2","0","0","1","1","1","0","0","2.216.161,5"
"03489","HOSPITAL LUISA SANTIAGA MARQUEZ IGUARAN","819001712","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","13","29","0","10","0","11","1","0","0","7","0","5","6","18","13","1","15","5","5","8","4","0","2.150.893"
"03490","HOSPITAL MANUEL ELKIN PATARROYO - SANTA ROSA DEL SUR","829001256","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","25","68","2","13","0","27","7","1","0","1","9","24","36","20","4","22","33","19","19","9","5","0","2.440.098,87"
"03491","HOSPITAL MARCO FELIPE AFANADOR DE TOCAIMA - TOCAIMA","890680033","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","17","25","1","9","0","20","4","1","0","0","8","3","7","19","5","5","8","5","5","11","5","0","2.986.497,42"
"03494","HOSPITAL MATERNO INFANTIL CIUDADELA  METROPOLITANA - SOLEDAD","802013023","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","29","35","0","8","0","14","24","7","0","0","0","3","20","29","12","9","16","26","26","7","6","0","3.631.606,91"
"03495","HOSPITAL MENTAL DE ANTIOQUIA - HOMO","890905166","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","56","70","0","15","0","25","27","4","0","1","1","26","46","45","8","18","57","22","22","18","11","0","2.598.142,52"
"03496","HOSPITAL MENTAL DE RISARALDA -PEREIRA","891412134","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","11","18","0","8","0","5","7","0","0","3","0","3","9","16","1","10","5","3","3","4","2","0","2.668.247,03"
"03498","HOSPITAL MENTAL RUDESINDO SOTO","890500810","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","6","10","0","5","0","5","2","0","0","1","0","4","5","7","0","4","10","1","1","0","1","0","2.372.442,63"
"03500","HOSPITAL MUNICIPAL DE ACACIAS","892000264","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","2","5","0","0","0","4","2","0","0","0","0","0","3","4","0","3","2","2","2","0","0","0","4.595.847,29"
"03501","HOSPITAL MUNICIPAL DE EL DORADO","900081643","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","1","3","0","1","0","2","0","0","0","1","0","0","1","2","1","0","1","2","2","0","1","0","1.993.585"
"03502","HOSPITAL MUNICIPAL NUESTRA SEÑORA DE GUADALUPE","813007875","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","2","11","0","3","0","1","3","0","0","2","1","2","1","8","1","3","4","0","0","6","0","0","0"
"03503","HOSPITAL NIVEL I EL BORDO","891500736","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","8","12","0","11","0","1","3","0","0","3","0","3","2","12","3","2","1","4","4","7","2","0","2.054.940,4"
"03505","HOSPITAL NUESTRA SEÑORA DE GUADALUPE - SANTANDER","900186802","TERRITORIAL",,,,,,,"DEPARTAMENTAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","1","1","0","0","0","0","2","0","0","0","0","0","1","1","0","0","2","0","0","0","0","0","3.428.638,5"
"03509","HOSPITAL NUESTRA SEÑORA DEL CARMEN - HATO NUEVO","825000620","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","3","6","1","3","0","0","1","0","0","3","0","0","3","6","0","1","3","4","4","0","0","0","1.375.549,89"
"03510","HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO DE URIBIA, GUAJIRA","800061765","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","8","10","2","4","0","3","2","0","0","4","0","0","2","11","5","2","3","5","5","5","3","0","2.588.423,94"
"03511","EMPRESA SOCIAL DEL ESTADO REGIÓN DE SALUD MEDINA","892001990","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","3","20","0","1","0","9","2","0","0","0","7","1","4","10","1","7","3","0","0","7","2","0","2.452.581,09"
"03512","HOSPITAL NUESTRA SEÑORA SANTA ANA","819000626","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","NO APLICA","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","5.769"
"03515","HOSPITAL PILOTO  JAMUNDI - JAMUNDI","890306950","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","19","74","0","30","0","15","9","2","0","2","0","16","38","31","8","42","26","11","11","7","6","0","2.828.547,77"
"03517","EMPRESA SOCIAL DEL ESTADO HOSPITAL PSIQUIATRICO SAN CAMILO","890200500","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","35","69","1","27","0","10","18","5","0","0","4","23","28","40","9","30","21","17","17","11","5","0","3.740.235,3"
"03519","HOSPITAL RAFAEL PABA MANJARREZ - SAN SEBASTIAN","819000736","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","6","27","0","10","0","8","3","0","0","12","5","3","6","13","6","8","3","7","7","4","1","0","3.756.365,91"
"03522","HOSPITAL REGIONAL  CESAR URIBE PIEDRAHITA  -CAUCASIA","890980757","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","18","52","0","14","0","24","6","3","0","0","9","16","14","25","6","21","15","14","14","7","4","0","4.810.665,06"
"03525","NUEVA EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FRANCISCO DE ASIS","901108114","TERRITORIAL",,,,,,,"DEPARTAMENTAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","35","183","0","28","0","27","16","2","0","126","0","24","84","82","28","29","15","17","17","7","0","0","2.396.185,52"
"03526","HOSPITAL REGIONAL SAN JUAN DE DIOS - SANTAFE DE ANTIOQUIA","890982264","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","39","125","0","16","0","32","8","1","0","12","3","58","55","41","7","73","36","17","17","9","5","0","2.408.603,36"
"03527","EMPRESAS SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS","890907254","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","12","37","0","10","0","11","12","2","0","4","0","9","13","27","0","10","7","9","9","14","0","0","2.459.796,27"
"03530","HOSPITAL REGIONAL  SAN RAFAEL  -YOLOMBO","890981536","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","1","1","0","0","0","1","1","0","0","0","0","1","0","1","0","1","1","0","0","0","0","0","6.613.042,5"
"03531","HOSPITAL REGIONAL  SAN VICENTE DE PAUL  - CALDAS","890907215","TERRITORIAL",,,,,,,"NO APLICA","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","20","39","0","12","0","29","8","1","0","0","8","28","13","10","0","33","13","5","5","4","3","0","4.492.361,12"
"03532","HOSPITAL UNIVERSITARIO DE SINCELEJO  -SINCELEJO","892280033","TERRITORIAL",,,,,,,"DEPARTAMENTAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","26","72","0","14","0","30","24","0","1","6","0","11","19","41","27","26","30","13","13","16","8","0","3.401.462,16"
"03535","HOSPITAL REGIONAL DE CHIQUINQUIRA","820005389","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","1","2","0","0","0","2","1","0","0","0","1","2","0","0","0","3","0","0","0","0","0","0","3.073.000"
"03536","HOSPITAL REGIONAL DE DUITAMA","891855438","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","3","10","0","0","0","5","4","1","0","0","0","0","3","7","3","2","1","1","1","3","6","0","3.544.692,31"
"03537","E.S.E. HOSPITAL REGIONAL DE GARCIA ROVIRA","900067169","TERRITORIAL",,,,,,,"DEPARTAMENTAL","NO APLICA","DESCENTRALIZADO","NO APLICA","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","1","1","0","0","0","0","1","1","0","0","0","0","1","0","1","0","1","1","1","0","0","0","6.489.193"
"03538","HOSPITAL REGIONAL DE MIRAFLORES","800152970","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","11","30","0","10","0","11","6","0","0","1","8","5","7","17","4","7","8","12","12","4","4","0","2.639.836,73"
"03539","HOSPITAL REGIONAL DE MONIQUIRA","891800395","TERRITORIAL",,,,,,,"DEPARTAMENTAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","7","6","0","0","0","3","4","3","0","2","0","2","6","4","1","3","2","5","5","0","0","0","5.277.230,77"
"03540","HOSPITAL REGIONAL DE SAN GIL","900066347","TERRITORIAL",,,,,,,"DEPARTAMENTAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","1","2","0","0","0","0","1","2","0","0","0","2","0","1","0","2","0","1","1","0","0","0","5.759.508,33"
"03541","HOSPITAL REGIONAL DE SOGAMOSO","891855039","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","6","17","0","6","0","8","7","1","0","0","3","1","6","6","7","1","4","4","4","3","7","0","3.959.956,52"
"03542","HOSPITAL REGIONAL DE VELEZ","900067136","TERRITORIAL",,,,,,,"DEPARTAMENTAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","1","1","0","0","0","0","2","0","0","0","0","0","1","1","0","0","2","0","0","0","0","0","0"
"03543","HOSPITAL DEPARTAMENTAL GRANADA META","800037021","TERRITORIAL",,,,,,,"DEPARTAMENTAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","3","5","0","0","0","4","3","0","0","1","0","0","0","4","4","0","2","4","4","2","0","0","3.324.762,5"
"03544","HOSPITAL REGIONAL II NIVEL VALLE DE TENZA","900004894","TERRITORIAL",,,,,,,"MUNICIPAL","NO APLICA","DESCENTRALIZADO","VINCULADAS","EMPRESAS SOCIALES DEL ESTADO",,,"2025","3","Fuente: Función Pública, SIGEP II Marzo 2025","14","56","0","10","0","36","10","5","0","0","24","7","20","17","2","9","15","10","10","7","5","0","3.014.600"
